date,station_id,station_name,latitude,longitude,pm25,pm10,aod,temp,rh,wind_speed,pblh
2026-06-12,DL001,Delhi_RK_Puram,28.56,77.18,170.42,300.73,0.6634294043252436,21.38,50.24,1.81,976.7
2026-06-12,MH001,Mumbai_Bandra,19.05,72.84,47.8,74.96,0.3387191827223759,24.71,65.05,3.73,882.7
2026-06-12,WB001,Kolkata_Victoria,22.54,88.34,106.77,208.85,0.4761398099757646,24.2,73.24,1.56,1394.2
2026-06-12,TN001,Chennai_Alandur,13.0,80.2,58.32,99.61,0.44572305036715876,30.01,86.11,2.74,1217.9
2026-06-12,KA001,Bengaluru_Silk_Board,12.92,77.62,42.62,66.05,0.322683175483576,25.64,76.06,1.46,1243.4
2026-06-12,TG001,Hyderabad_Sanathnagar,17.45,78.43,43.61,61.17,0.3905464238668635,27.02,77.02,1.35,1059.6
2026-06-12,BR001,Patna_Sanjay_Gandhi,25.6,85.1,141.74,233.9,0.6093599422703534,20.38,64.73,2.11,1192.9
2026-06-12,UP001,Lucknow_Lalbagh,26.85,80.94,158.92,305.25,0.7159186523890023,23.47,59.78,3.28,1001.1
2026-06-12,RJ001,Jaipur_Adarsh_Nagar,26.9,75.82,87.79,138.17,0.5953803368102422,19.46,43.94,4.46,964.6
2026-06-12,GJ001,Ahmedabad_Maninagar,23.0,72.61,90.05,176.87,0.5488340814651368,25.03,48.95,3.49,833.8
2026-06-13,DL001,Delhi_RK_Puram,28.56,77.18,187.63,356.93,0.6335824895500972,20.17,46.14,1.81,874.2
2026-06-13,MH001,Mumbai_Bandra,19.05,72.84,69.0,101.18,0.36284487716252684,27.58,62.78,4.18,1072.7
2026-06-13,WB001,Kolkata_Victoria,22.54,88.34,96.13,162.86,0.5473583805598998,23.75,70.97,3.42,1438.2
2026-06-13,TN001,Chennai_Alandur,13.0,80.2,59.64,97.2,0.4323558752913101,28.72,90.49,1.31,1247.6
2026-06-13,KA001,Bengaluru_Silk_Board,12.92,77.62,30.83,53.39,0.3902089635302032,28.51,91.42,3.79,1446.3
2026-06-13,TG001,Hyderabad_Sanathnagar,17.45,78.43,52.11,96.98,0.5438464597656785,25.84,68.23,4.63,1254.0
2026-06-13,BR001,Patna_Sanjay_Gandhi,25.6,85.1,129.65,218.05,0.7025156369426888,21.68,57.77,3.62,1041.0
2026-06-13,UP001,Lucknow_Lalbagh,26.85,80.94,155.76,288.48,0.7451090947965235,21.65,63.18,2.45,973.6
2026-06-13,RJ001,Jaipur_Adarsh_Nagar,26.9,75.82,104.7,176.21,0.5927722555136661,22.23,44.93,4.57,706.6
2026-06-13,GJ001,Ahmedabad_Maninagar,23.0,72.61,99.46,185.64,0.5497498521772884,24.01,47.32,4.02,929.3
2026-06-14,DL001,Delhi_RK_Puram,28.56,77.18,169.72,305.71,0.615989244084045,20.69,45.48,0.73,857.0
2026-06-14,MH001,Mumbai_Bandra,19.05,72.84,49.9,77.32,0.4160855788230512,23.88,65.65,2.69,984.4
2026-06-14,WB001,Kolkata_Victoria,22.54,88.34,95.17,168.84,0.45877262917853934,25.65,77.61,3.45,1173.3
2026-06-14,TN001,Chennai_Alandur,13.0,80.2,61.89,87.4,0.41700478838076915,26.34,85.79,4.21,1284.9
